"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7662","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7847","PRISM.7852","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7875","PRISM.7879","PRISM.7897","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7955","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8244","PRISM.8264","PRISM.8275","PRISM.8283","PRISM.8332","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8589","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8683","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8754","PRISM.8758","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8778","PRISM.8783","PRISM.8784","PRISM.8785","PRISM.8788","PRISM.8789","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","PRISM.9126","PRISM.9148"
"Slackia_piriformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118543,0.003794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44e-05,0,0.0022446,0,0,0,0,0,0,0,0,0.0032888,0,0,0.0045505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_caccae",0,4.58e-05,3.71e-05,0,7.4e-06,0,2.24e-05,3.01e-05,0,0.000257,0.0085034,0,9.3e-06,0.0265347,0,0.0240366,0.0007759,3.23e-05,0.0039515,0.0005237,0.0030439,0,0,0.0012662,0.0087625,0.0017643,0.001733,0.0296854,0.0148842,0,0.0097539,0,0.0165688,0,0.006815,0,0.0009469,0,0,0.0037555,0,0.003904,0,1.07e-05,0,1.57e-05,3.79e-05,0,7.3e-06,0,0.0198067,0,0,0,0,2.11e-05,1.59e-05,3.92e-05,0.0172754,6.8e-06,0,0,0,0.0081333,1.95e-05,0.002279,0.0084402,0.0012381,0,0.0259189,0.0078105,0,0.0003432,4.7e-06,0.0081658,0,3.25e-05,0.559183,2.7e-06,0,0,0,0,0.0012517,0,0,0,0,0,8.16e-05,0,0.003147,0,0,0.0001332,0,0.0168008,0.0025319,0,0.0303393,0,0,0.0067337,0.0519175,0.0091956,2.11e-05,0.0155448,2.12e-05,3.07e-05,2.17e-05,0.0154263,0,0.0256249,0.0007112,0.0790568,0.0020295,0.010758,1.53e-05,2.26e-05,0.0220559,0.0086316,0.0011972,2.82e-05,0.0377154,0.0074618,0.0019196,2e-05,3.4e-05,1.19e-05,1.41e-05,1.06e-05,1e-05,0.0432307,1.02e-05,0,1.56e-05,0.0501324,1.11e-05,0.0046817,0,0,0.0065017,0,0.0074207,0,0.0303232,0,0,0,0,0.0073053,0,0.0028159,0.0209118,0.0314251
"Bacteroides_cellulosilyticus",0,0.0031161,7e-06,0,0,0,9.4e-06,0.0010425,0,0,0,0,3.4e-06,0.0057424,0,0.0031648,0.0001244,0,0,0,0.0002968,0,0,0,0,0.000402,0,0.0025491,0,0.0063695,0.0037203,0,0.0011666,0,0,0.0006435,0.0003847,0,0.0006908,4.16e-05,0,0.0386086,0,0,0,0,0.0006331,0,0,0,0,0.0005357,0,0,0.03263,1.06e-05,0,4.8e-05,5.5e-06,0.0191244,0,0,0,0,1.32e-05,0,0.0003095,0.0003439,0,0,0,0,0,0,0,0,0,4.4e-06,0,0,0,0,0.0250241,0,0,0,0,0,0,3.05e-05,0,0.0025299,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0.0012726,0.0146484,2.16e-05,8.7e-06,3.6e-06,6.8e-06,0.0057024,0,1.63e-05,1.33e-05,6.7e-06,2.04e-05,0.0052602,6.1e-06,0.0427881,0.13122,0,0,7.5e-06,0.0273016,3.1e-06,0.067554,2.1e-06,1.64e-05,1.1e-06,3e-06,0,2e-06,8.8e-06,1.9e-06,0,0,0.0245848,1.8e-06,0,0,0,0.0001723,0,0.0054571,0,0.0001512,0,0.0020373,0,0,7.38e-05,0,0,0.011906,0.0008207
"Bacteroides_dorei",0.336689,0,0.0001018,4.93e-05,0.0001206,8.7e-05,5.86e-05,0.0003558,4.32e-05,0.0001192,0.0001003,0.0005973,0.24355,0.0016044,0.000744,0.000504,0.0003486,0.0001556,1.3e-05,0,3.28e-05,1.66e-05,0.0223237,0.002375,0.0214811,3.78e-05,2.3e-06,0,0.0039477,0,0,0.0007534,0,0,0.0071664,0.0043292,0,0,6.6e-06,0.0001125,0.0093684,0,6.14e-05,5.07e-05,6.64e-05,0.0037554,0,0,0.1761,6.81e-05,0.0012908,0.0035643,0,0.010865,0.0021228,6.42e-05,0.0003099,4.44e-05,3.29e-05,4.25e-05,3.16e-05,0.0030081,0.0243253,0.0351062,0.0013732,8.4e-06,0,2.82e-05,0.0016419,0,0.0214081,0,9.29e-05,0.0842106,7.48e-05,0.030262,8.86e-05,3.24e-05,6.49e-05,0,0.0255786,0,0.0299597,0.0002897,0.0001562,2.09e-05,0,3.12e-05,0.0001419,0.0003287,5.31e-05,0,0.0004299,3.3e-05,0.0005729,0,0.001315,0.0007443,3.46e-05,0,0,0.0001008,0.0089953,0.0028813,0.0037881,0.023147,0.0007129,4.5e-05,3.63e-05,9.7e-05,0.0002517,1.3e-06,0.0007688,0.0106125,1.95e-05,9.13e-05,0.0157572,0.0241341,2.08e-05,8.67e-05,0.0065028,0.0051745,0.0359183,0,2.35e-05,0.0240967,6.66e-05,9.67e-05,3.06e-05,3.87e-05,2.48e-05,3.54e-05,6.23e-05,0.0008442,0.0530351,5.05e-05,0.0326196,3.21e-05,0.0021777,0,0,9.87e-05,0,0,0,0.0276369,0,0.0671349,0,0,5.34e-05,0,0.0551896,3.13e-05,0.0023818
"Bacteroides_eggerthii",0,0,0,0,0,0,0,0,4.77e-05,0.0003616,0,0,0,0,9.22e-05,0,0,0.004233,0,0,0,0,0,0,0.0405095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,5.26e-05,0,0,0,0,0,0,0,0.0001516,0.0008015,0,0,0,0,0,0,0,0,0.0055964,0,0,0,0,0,1.9e-06,0.0751481,0,0,0,0,0,0,0,0,0.180024,0,0,0,0,0,0,0,0,0,0.000569,0,0,0,0,0.0116605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032697,0.000292,0,0,0,0,0,0,0.0002363,0.0001317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726443,0,0,0,0.0198916,0,0,0,0,3.16e-05,0,0,0.150739,0
"Bacteroides_faecis",0,1.66e-05,7.3e-06,0,0,0,4.8e-06,1.24e-05,0,0,0,0,0.0107685,0,0,0,0.0006038,0,0,0,0,1e-05,0,0,0.0020511,1.22e-05,0,0,0,0,0,0,0.0013734,0.0003843,0.0012901,0,0,0,0,0,0,0,0,0,0,0,3.34e-05,0,0.0027475,0,0,0,0,0,0,0,0,0.0025935,0,0.0007524,0,0,0,0,0,0,0,0.0001023,0,3.5e-06,0,0,0,0,0,0,0.0006105,0,0,0,0.0106236,0,0.0061987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012357,0,0,0,0,0,0,0,2.2e-06,1.18e-05,0.0006814,6e-07,0.0225498,1.79e-05,0.0011426,0,0.0030632,6.4e-06,0,0.0001289,1.95e-05,0.0178557,0.0094654,7.7e-06,5.1e-06,0,2.5e-06,0,6.3e-06,0.0034502,3.3e-06,0,0,0,0,0,0,0,0,0,0.0127237,0,0,0,0,0,0,0,0,0,0.0937104,0,0,0,4.9e-06,0,3.16e-05,0,0
"Bacteroides_finegoldii",0,0,1.17e-05,0,0,0,3e-06,1.24e-05,0,0,0,0,0,1.02e-05,0,0,0,0.0003307,0,0.0001263,0,0,0,0.0015702,0,0.0031967,0,0,0,9.8e-05,0,0,0,0,0,0,0,0,0,0.0053068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048242,0,1.1e-05,0,5.5e-06,0.0024752,0,0,0,0,0,0,2.2e-06,0,0.000666,0,0,0,0,0.0106309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1e-06,0.0021903,0,0.000277,0,0,0,0,0.0025027,0,0,0,0,0,0,0.0073146,4e-06,0.0154465,1e-06,0,1.11e-05,0.0152072,0,1.3e-05,0.0014253,2.1e-06,2.83e-05,0.0034169,3.8e-06,4.4e-06,4e-06,0.0012809,0,4.9e-06,0,3e-06,0,1.15e-05,0,3e-06,8e-07,5e-07,8e-07,8.4e-06,1.79e-05,0,2e-06,0.0236582,4e-06,0.0098059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_fragilis",0,0.0091857,0.0184412,0.107277,0.002043,0,0,0.0022501,0,0,0.0004407,0,0.0121006,0.0055426,0,0.0003633,0,9.31e-05,0,0,0.0017287,0,0.0198281,0,0,0.0004318,0,0.0006816,0,1.36e-05,0.0003241,0,0,0,0,0.0109977,0,0.0058316,0.0211305,0,0.0007817,0.0010114,0,0,0.0161831,0,0,0,0,0,0.0016224,0.0017313,0,0,0,0,0,0.0025493,0,0,0,0,0.0080211,0,3.46e-05,0.0502106,0,0,0,0,0,0,0.0103014,0,0,0,0,0,0.008372,0,0.0009197,0,0,0.0028954,0,7.32e-05,0,0,0.0007513,0,0,0,6.06e-05,0,0.0001368,0,0,0.0004427,2.43e-05,0.0030407,0,0,0,9.15e-05,5e-07,1.42e-05,0.0031019,0,0,0.0407861,0,0,8.3e-06,0,0.0255839,2.8e-06,0.0237857,0,0,0.0039445,0.0018076,0,0.0152805,0.0165508,0,3.01e-05,0.0119162,3.77e-05,7e-07,0,0.0007546,3.3e-06,0.0581631,0,0.0002237,0,0,0,0,0.0169438,0,0,0.0523939,7.18e-05,0,0,0.0577572,0.0041339,0,0.005028,0,0,0,0,0
"Bacteroides_intestinalis",0,0,0,0,0,0,0,0.0044483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e-06,0,0,0.0010031,0,0,0,0,0,0.0005775,2.72e-05,0,0,0,0,4.7e-06,0,0,0,0,0,0,0,0.0004456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009712,0,0,0,0,0,0,0,0.0065597,0,0,0,0,0,0,0,0,0,0,0,0.001645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004386,0,0,0,0,0.0134308,0,0,0,0,0,0.0147575,0,0,0,0,0,0,0
"Bacteroides_massiliensis",0,1.05e-05,2.63e-05,0,0,0,5.6e-06,0.0998566,0,0,0,0,1.05e-05,1.2e-05,0.0001199,0,0.0077261,0,0,0.0013785,0,0,0,0.0070041,0,0,0.0179372,0,0,0.0021976,0,0,0.0005503,0.0002211,0,0,0.0035651,0,0,0,0,0,0,0,0,0,0.0002761,0,0,0,0,0.0280021,0,0,0,1.35e-05,0,0.0184228,1.22e-05,0.0099404,0,0,0,0,0.0533327,0,0.0011505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144141,0,0,0,0,0,0,0.0001211,0,0.0141023,0,0,0,0,0,0,0,0,0,0,0.0495323,0,1.65e-05,1.12e-05,0,2.22e-05,2.24e-05,1.04e-05,0.0285187,0,3.2e-05,3.74e-05,1.94e-05,0.0008508,1.21e-05,1.94e-05,0.0356038,1.42e-05,0.0282525,0.0120987,2.17e-05,0,1.54e-05,1.06e-05,2.13e-05,1.87e-05,4.9e-06,3.2e-06,5.4e-06,6.2e-06,1.3e-05,0.054898,0,1.22e-05,1.12e-05,8.1e-06,0.0884816,0,0,0.0131591,0,0,0,0.0104224,0,0,0,0.088192,0,0,0.0364785,0,0
"Bacteroides_ovatus",0,0.006758,0.0375723,0.218051,0.0091959,0.0001379,3.66e-05,0.162357,0,0.0001205,0.0058109,0.0011172,0.0002189,0.0107706,0.0005863,0.0019217,0.0005251,0.0002254,0.0100168,0.0010716,0.0076928,0.0002604,0.0120971,6.71e-05,0.0054655,9.56e-05,0.0174701,0.0069051,0.0004684,7.73e-05,0.0010273,0,0.0039528,0.0003369,0.0066567,0.0266789,0.0040797,0,0.0101447,0.0010002,0.0028612,6.6e-06,1.7e-06,1.4e-06,0.0493204,0.0414791,0.001614,0,0,9.7e-06,0.0095488,0.0165482,0,7.5e-06,0,0.0540757,3.6e-06,0.0010801,0.0067422,0.00286,2.4e-06,0.0039416,0.0264866,0.0084241,4.99e-05,0.0001425,0.0012886,7.77e-05,0,0.0008977,0.0201572,0,0.0110887,6.2e-06,0.0102826,0,0.0018835,0.0047639,2.4e-06,0.134793,0,0,0.0377108,0.0001202,9.44e-05,3.3e-06,0.0002454,0,0.0035585,0.0054702,3.15e-05,0.0015215,0.0002918,0,0.0003164,0,0.0101638,0.0006432,7.5e-06,0.0526733,0,2.26e-05,1.17e-05,0.0337866,0.003061,0.105881,0.0052387,3.92e-05,0.0004651,0.0848618,0.009592,6.1e-06,0.0015707,0.0014555,3.88e-05,0.0060591,0.0017592,0.0919516,0.0009201,0.0300715,0.011468,0.0042984,0.0080483,0,0.0307732,0.0022149,0.13012,0.0001269,2.58e-05,2.88e-05,2.34e-05,3.59e-05,0.0007754,0.0348951,0.0004669,3.08e-05,0.016443,4.8e-05,2.67e-05,0.0094416,0.0004851,0.0046702,0.0182717,0.0042245,0.0004476,5.3e-06,0.0760915,0.0042013,0.0004431,0.0228226,0.0002467,0,0.0007368,0.0454526,0.0139227
"Bacteroides_salyersiae",0,0,0,0,0,0,0,0.0053675,0,0,0,0,0,0,0,0,0.0002319,0,0,0,0,0,0,0,0,0.0002782,0,0,0,1.05e-05,0,0,0,0,0,0,6.05e-05,0,0,0.0009339,0,0.0005783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015556,0,0,0,0.0001752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338407,0,0,0.0002616,0,0,0,0,0,0,0,0,0,0.0152819,0,0,0,0,0,0,0,0,0,0,0.0054799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_2_1_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042159,0,0,0,0,0,0,0,0,0,0,0.0580861,0,0,0,0,0,0,0,0,0,0,0,0,0.0009047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574805,0,0,0,0,0,0,0,0,0,0,0.0044124,0,0.0018611,0,0,0,0,0,0,0,0.0061061,0,0,0,0,0,0,0,0,0,0,0,0,0.0202179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",0,0.0490753,7.58e-05,0,2e-06,0,5.21e-05,6.33e-05,0,0.0001296,0,0,0.070188,3.44e-05,0.0037179,0.0030318,1.46e-05,0,0,0.00139,0,0,5.5e-06,0.0908989,0.0544377,0,0.0791232,0,0,0,3.3e-06,0,0,0,0.216389,0.0037411,0,0,0.0008756,0.0141316,0,0,0,0,0,3.96e-05,0.0001256,0,0,0,0,0.0226371,0,0,0,6.35e-05,0,0.0174854,0.0398247,5.42e-05,0,0,0,0,3.73e-05,0.0003237,0.0004753,0.0018352,0,0.0310095,0,0,0.0367405,0,0.0702763,0.0369972,0.0083925,1.38e-05,0,0,0,0,0.0074362,2.78e-05,0,0,0,0,0.0224241,0.0036012,0.0007176,0,0.0010286,0,0.0011722,0,0.0635865,0,0,0,0,0,0,0.0349183,0.0019214,4.02e-05,0.0001393,4.4e-05,4.94e-05,6.81e-05,0.0099118,4.36e-05,0.0002792,0.0039933,0.0506307,0.003558,0.0112843,0.0001161,6.12e-05,4.18e-05,0.0068509,0.0064325,3.89e-05,1.18e-05,3.6e-05,7.94e-05,5.69e-05,8.39e-05,2.02e-05,2.99e-05,2.95e-05,2.76e-05,2.52e-05,0.217493,0,2.91e-05,4.22e-05,3.95e-05,0.168705,0,2.97e-05,0,0.0052867,0,0,0.0045004,0,0,0,0.0089053,0.0001161,0,0,0,0.179622
"Bacteroides_thetaiotaomicron",0,0.0064735,1.26e-05,0,0.0047228,0,3e-06,0.0038041,0.0389299,3.32e-05,0.0006867,8.74e-05,0.0063246,4e-06,0.0007897,0.0011591,0,0.0002945,0,3.46e-05,0.000498,0,0.0191072,0.0004473,0.0014283,0.0017569,0.0064388,0.0011849,0.0029016,0,0.0046743,0,0,3.6e-06,0,0.0167755,0.0005877,0.0226818,0.0026595,0.0004929,0,0.0026238,0,0,0,0,0.0004892,0,5.18e-05,0,0.0061973,0,0,0,0.130629,5e-06,3.62e-05,7.49e-05,4.9e-06,1.5e-05,0,0,0,0.0019786,0.0404283,9.28e-05,0.0004248,0,0,0.0113727,0,0,0.0093502,0,0.0034331,0,1.14e-05,0.0013304,0,0,0.0007837,0,0,6.87e-05,0.187106,0,0,0,0.0010776,2.45e-05,0,0.00081,0.0001548,0,6.14e-05,0.0150082,0.0056636,0.0012048,0,0,0,6.46e-05,0.0043856,0.0181431,0.0004135,6.8e-06,0.0003085,5.2e-06,1.88e-05,0.0820054,0.0029806,0,0.032474,9.7e-05,2.5e-06,0.0032336,0.0002261,3.51e-05,3.57e-05,0.0202693,0.001984,0.0010859,3.4e-06,0.0976177,0.0014179,0.0002598,0.0114728,7.5e-06,2.7e-06,1.4e-06,0,2.7e-06,4.5e-06,3.4e-06,0,3e-06,0.0005915,2.2e-06,0.0241631,0.0121073,0,0.0100967,0.0289854,0.0001477,0,0.0049696,0,0,0.0026801,0.0310964,0,0,0.0022996,0.003452,0.0037176
"Bacteroides_uniformis",0,0.0300924,0.0924908,0,0.021823,0,0.0001102,0.0015946,0,0.0005245,0.0133779,0,0.0473558,0.0281908,0.0128759,0.0593463,0.0117249,0.0013474,0,0.0019878,0,0,0.031253,0.0095758,0.0191955,0.0042295,0.0436399,0.0111783,0.0161242,0.0112618,0.0246117,0,0.0222855,0.0005399,7.3e-06,0.0209066,0.0063389,0.0034566,0.015935,0.0048047,0.0052792,0.0543676,4.84e-05,0,5.9e-06,0.0244501,0.0042953,0,9.6e-05,0,0.0340082,0.0179277,0,0.0106133,0,0.105092,0.0004796,0.0012712,0.0883559,0.0001331,1.1e-06,0,0.0376387,0.0118324,0.0437065,0.0078985,0.0428312,0.0040331,0.0039545,6.2e-06,0.0029848,0,0.0515902,0.0285271,0.0091138,0.0076096,0.0027709,0.0047064,1e-05,0,0.0236635,0,0,0.0033427,0,0,1.08e-05,0,0.0069768,0.0048765,3.5e-05,0.0454086,0.0008966,0,0.0009249,0.0618572,0.0096534,0.0364924,0.0002228,0.297477,8.67e-05,0.0004047,0.0804835,0.0581679,0.0069348,8.12e-05,0.0163008,0.0001412,0.0001398,0.0739291,0.0129288,4.47e-05,0.0027308,0.0013611,0.000113,0.0013156,0.0553711,0.029405,8e-05,0.0503931,0.0097699,0.0064687,0.0001288,0.0435163,0.0285813,0.0457574,0.0880843,0.0003292,5.79e-05,7.58e-05,6.6e-05,7.29e-05,0.0047073,0.0121093,0.270627,8.63e-05,0.0609518,8.61e-05,0.131729,0,0,0.120573,0.0066178,0.0107544,0,0.0980496,0.138048,1.62e-05,0,0.0118963,0.0019885,0,0.0019924,0.0403491,0.038069
"Bacteroides_vulgatus",0.0001394,0.0675154,0.0257563,0.0001015,0.0042856,0.282435,9.27e-05,0.0481726,0.0306048,0.0007843,0.0181957,0.0008209,0.0001336,0.0260448,0.0029274,0.0101468,0.0020945,0.0043507,0.0627029,0.000709,0.0014881,0.0024342,0.0596943,0.0101363,0.0094021,0.0443529,0.0098154,5e-06,0.0284404,0.0032815,0.0146558,0.0047546,0.0011535,0.0012763,0.0164874,0.0082057,0.006545,0.0088593,0.0068026,0.0001711,5.4e-06,0.0184687,8.43e-05,0.0001812,0.0115414,0.0159169,0.0092474,5.26e-05,0.0001256,0.166994,0.106258,4.88e-05,0,5e-06,0.0247727,0.0001036,0.0007495,0.0044415,0.0300473,0.0546243,8.94e-05,0.0041421,0.0001128,6.43e-05,6.44e-05,0.0010177,0.0070372,0.0014084,0.0060104,0,9.83e-05,0,0.0632457,0.0002551,5.96e-05,0.007165,0.001207,0.0106729,0.0108542,0,0.0017115,7.8e-06,1.92e-05,0.0028354,0.0544609,5.91e-05,4.01e-05,0.000276,0.004304,0.0056611,0.0027914,4.73e-05,0.0005611,0.0001576,0.0003687,0.261541,0.0227561,0.0154038,0.0001251,0.0233999,2.88e-05,0.0008774,0.0491996,0.0443129,0.0085975,0.0091335,0.014967,7.99e-05,0.191589,0.0622912,0.0113658,9.12e-05,0.019367,0.0010138,0.0118194,0.0050997,0.0070836,0.0587852,0.0563917,0.0513962,0.0070562,0.0075848,0.0273239,0,0.0483937,0.0031008,0.0231593,0.0001728,5.63e-05,7.26e-05,0.0001021,4.25e-05,6.06e-05,0.044886,3.75e-05,0.0198349,0.000935,0.0001171,0.0439234,0.0222236,7.71e-05,0.0242597,0.017665,0.005935,0,0.02251,0.0902986,4.28e-05,0.112718,0.0058067,0.0011839,0,0.0229083,0.0322428,0.0190292
"Bacteroides_xylanisolvens",0,0.0042691,0,0,0.0075451,0,0,0.004027,0,0,0.0003156,3.34e-05,0.0124769,2.73e-05,0.0009381,0,0.00043,0,0,0,0.0010755,0,0.0054634,0.0004415,0.0002107,0.000807,0.0030907,0,0,3.18e-05,0.0006389,0,0.0008058,1.61e-05,0,0.0090326,0.000409,0.0021477,0.0003763,5.98e-05,0,0.0009774,0,0,0.0162993,0,3.08e-05,0,0,0,0,0,0,0.0009975,0,0.0017015,0,3.3e-06,0,1.39e-05,0,5.28e-05,0.0085501,0.0004253,0,0.0012295,0,7.06e-05,0,3.62e-05,0.0019957,0,0.008351,0,0.0004847,0,0.0001374,0,0,0,0.0010778,0,0.0005117,0.0002735,0,0,1.76e-05,0,0.0007018,2.9e-06,0,0.0019328,0,0,0,0,0.0028074,0,0,0.0058042,0,0,0.0018446,0.004548,0.0006222,0.0003024,0.0001181,0,1.55e-05,0,0.0003388,0,0.0016701,0.0001452,0,0.0001319,0.0020982,0.000593,0,6e-05,0.0003622,0,0.0002274,0.0070517,0.0013224,0.0007776,0,1.6e-06,0,0,0,5e-07,0.0025234,0,0,0,0.0001307,0,0.0009892,0,6.2e-06,1.02e-05,4.86e-05,0,0,0,0.0118606,0,0,0,2.6e-06,0,0,3.39e-05,0
"Bacteroidales_bacterium_ph8",0,0,3.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.002968,0.0011529,0,0,7.29e-05,0,0,0,0.0019745,0,0.0010272,0.0051197,0.0001032,0.0036472,0.0004337,0.0089312,0,0.0060661,0,0,0,0.0004194,0,0,0.0017175,0,0.0146076,0,0,0,0,0.0028182,0,0,0,0,0.0004653,0,0,0,1.09e-05,0,0.0015023,2.2e-06,0.0200178,0,0,0,0.0001598,0,0,0.0080154,0.0046352,0,0,0,0,0,0,0,0,0,0,0,0,0.0037783,0,0,0.0002937,0,0,0,0,0,0,0,0.0087266,0.0009686,0,0,0,0,0.0066167,0,0,0,0,0.0210768,0,0.0191715,0.0034006,0,0,0,0,0.0051671,0,0,0.0296009,5.29e-05,0.0048744,0.0122699,0,0.0137767,0,0.001073,0.0014341,5.1e-06,0,0,0,0,0,0,1.6e-06,0,0,0,1.1e-06,0,0,0.0002853,0,0,0,0,0,7.94e-05,0,0,0.0071631,0,0,0,0,0,0,0,0.001741,0.0012502
"Barnesiella_intestinihominis",0,0,5.7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.012223,0.0067296,0,0,0.0008276,0,0,0,0.0068093,0.0043696,0,0.0034109,0.0010496,0,0,0,0,0.0146003,0,0,0,0.0004725,0,0.0001125,0.0011852,0.0008149,0.0157603,0,0,0,0,0.0006483,0,0,0,0,0,0,0.0021065,0,0,0,9.9e-06,0.0396754,0.008055,0,0,0,0,0,0.0021905,0.0051105,0.0007551,0,0,0,0,0,0,0,0.0148867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001247,0,0.00272,0,0,0,0,0.0052517,0,0,0,0.0006315,0.0523302,0,0.0322175,0,0.0006511,0,0,0,0.0255524,0,0,0.0336236,0.0707118,2.74e-05,0.0320674,0,8.4e-06,0.008608,0,0.0019169,0,0,0.0088392,0,0,3.8e-06,0,0,5.5e-06,9.5e-06,0.009425,0,0,0,3.5e-06,0,0.0291826,0.0005406,0,0,0.015687,0,0,0.0460482,0,0,0,0,0,0,0,0,0.0218644
"Odoribacter_laneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030228,0,0,0,0,0,0,0.0241303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143259,0,0,0,0,0,0,0,0,0,0,0.0001417,0,0,0,0,0,0,0,0,0.0237436,0,0.0155315,0,0,0,0,0,0,0
